game_id,game_date,season,week,posteam,defteam,home_team,away_team,qtr,down,ydstogo,yardline_100,goal_to_go,score_differential,game_seconds_remaining,half_seconds_remaining,shotgun,no_huddle,side_of_field,play_type,passer,rusher,receiver,run_location,run_gap,pass_location,pass_length,epa,wpa,success,air_yards,yards_after_catch,xyac_mean_yardage,xyac_success,xpass,yards_gained,first_down,touchdown,passing_yards,rushing_yards,pass_touchdown,rush_touchdown,interception,sack,fumble,fumble_lost,desc,play_clock,game_half,play_id,drive,drive_play_id_started,drive_play_id_ended,late_down,red_zone,goal_to_go_flag,score_state,explosive,success_boolean,pass_detail,distance_bucket,field_bucket,game_phase,pass_side
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,46.0,0,0.0,2526.0,726.0,1.0,0.0,DET,pass,J.Garoppolo,,D.Samuel,,,left,short,0.5541302,0.04835236,1.0,5.0,3.0,3.992669,0.9829748,0.49645722,8.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,(12:06) (Shotgun) 10-J.Garoppolo pass short left to 19-D.Samuel to DET 38 for 8 yards (25-W.Harris).,0,Half1,1054.0,6.0,975.0,1111.0,False,False,False,tied,False,True,short,long,midfield,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,2.0,2.0,38.0,0,0.0,2480.0,680.0,0.0,0.0,DET,run,,E.Mitchell,,right,end,,,3.5220942,0.09153281,1.0,,,0.0,0.0,0.3445761,38.0,1.0,1.0,,38.0,0.0,1.0,0.0,0.0,0.0,0.0,"(11:20) 25-E.Mitchell right end for 38 yards, TOUCHDOWN. Penalty on DET-95-R.Okwara, Defensive Offside, declined.",0,Half1,1078.0,6.0,975.0,1111.0,False,False,False,tied,True,True,run_play,short,midfield,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,75.0,0,4.0,2167.0,367.0,1.0,0.0,SF,pass,J.Garoppolo,,K.Juszczyk,,,left,short,1.3652267,0.03194189,1.0,5.0,2.0,3.9273944,0.9853898,0.49865845,7.0,1.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,"(6:07) (Shotgun) 10-J.Garoppolo pass short left to 44-K.Juszczyk to SF 32 for 7 yards (24-A.Oruwariye). PENALTY on DET-53-C.Harris, Roughing the Passer, 15 yards, enforced at SF 32.",0,Half1,1365.0,8.0,1343.0,1539.0,False,False,False,leading,False,True,short,long,own_side,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,53.0,0,4.0,2152.0,352.0,0.0,0.0,SF,run,,E.Mitchell,,left,tackle,,,0.36585185,0.024321795,1.0,,,0.0,0.0,0.50362325,6.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,"(5:52) 25-E.Mitchell left tackle to DET 47 for 6 yards (54-A.McNeill, 91-M.Brockers).",0,Half1,1401.0,8.0,1343.0,1539.0,False,False,False,leading,False,True,run_play,long,own_side,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,2.0,4.0,47.0,0,4.0,2117.0,317.0,1.0,0.0,DET,run,,E.Mitchell,,right,tackle,,,0.6910121,0.037579417,1.0,,,0.0,0.0,0.47097197,11.0,1.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,(5:17) (Shotgun) 25-E.Mitchell right tackle to DET 36 for 11 yards (23-J.Okudah).,0,Half1,1422.0,8.0,1343.0,1539.0,False,False,False,leading,False,True,run_play,medium,midfield,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,36.0,0,4.0,2076.0,276.0,1.0,0.0,DET,pass,J.Garoppolo,,D.Samuel,,,middle,short,1.3702282,0.017548323,1.0,15.0,8.0,4.118719,1.0,0.43907303,23.0,1.0,0.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,(4:36) (Shotgun) 10-J.Garoppolo pass short middle to 19-D.Samuel to DET 13 for 23 yards (21-T.Walker; 34-A.Anzalone).,0,Half1,1443.0,8.0,1343.0,1539.0,False,False,False,leading,True,True,short,long,midfield,early,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,13.0,0,4.0,2031.0,231.0,0.0,0.0,DET,run,,E.Mitchell,,right,tackle,,,-0.3215941,-0.006401837,0.0,,,0.0,0.0,0.3848279,3.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,"(3:51) 25-E.Mitchell right tackle to DET 10 for 3 yards (54-A.McNeill, 34-A.Anzalone).",0,Half1,1467.0,8.0,1343.0,1539.0,False,True,False,leading,False,False,run_play,long,red_zone,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,2.0,7.0,10.0,0,4.0,1991.0,191.0,0.0,0.0,DET,pass,J.Garoppolo,,D.Samuel,,,left,short,1.3891953,0.02531004,1.0,4.0,3.0,2.5763462,0.7512864,0.7072498,7.0,1.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,(3:11) 10-J.Garoppolo pass short left to 19-D.Samuel ran ob at DET 3 for 7 yards.,0,Half1,1488.0,8.0,1343.0,1539.0,False,True,False,leading,False,True,short,long,red_zone,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,3.0,3.0,1,4.0,1950.0,150.0,1.0,0.0,DET,run,,J.Hasty,,middle,unknown,,,0.9603606,0.016067766,1.0,,,0.0,0.0,0.367962,3.0,1.0,1.0,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,"(2:30) (Shotgun) 23-J.Hasty up the middle for 3 yards, TOUCHDOWN.",0,Half1,1517.0,8.0,1343.0,1539.0,False,True,True,leading,False,True,run_play,medium,red_zone,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,72.0,0,18.0,1845.0,45.0,1.0,0.0,SF,pass,J.Garoppolo,,D.Samuel,,,middle,short,1.7577826,0.020481229,1.0,-4.0,18.0,10.739427,0.61969733,0.8132414,14.0,1.0,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,"(:45) (Shotgun) 10-J.Garoppolo pass short middle to 19-D.Samuel pushed ob at SF 42 for 14 yards (21-T.Walker). PENALTY on DET-25-W.Harris, Face Mask (15 Yards), 15 yards, enforced at SF 42.",0,Half1,1876.0,11.0,1876.0,2060.0,False,False,False,leading,False,True,short,long,own_side,early,middle
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,43.0,0,18.0,1839.0,39.0,1.0,0.0,DET,pass,J.Garoppolo,,G.Kittle,,,left,short,-0.23019886,-0.003801167,0.0,7.0,0.0,3.5772614,0.99890536,0.9376937,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,(:39) (Shotgun) 10-J.Garoppolo pass incomplete short left to 85-G.Kittle (24-A.Oruwariye).,0,Half1,1916.0,11.0,1876.0,2060.0,False,False,False,leading,False,False,short,long,midfield,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,2.0,10.0,43.0,0,18.0,1835.0,35.0,0.0,0.0,DET,pass,J.Garoppolo,,T.Sherfield,,,left,short,1.0528587,0.009396493,1.0,15.0,3.0,3.1108687,1.0,0.9432594,18.0,1.0,0.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,(:35) 10-J.Garoppolo pass short left to 81-T.Sherfield to DET 25 for 18 yards (34-A.Anzalone).,0,Half1,1938.0,11.0,1876.0,2060.0,False,False,False,leading,True,True,short,long,midfield,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,1.0,10.0,25.0,0,18.0,1828.0,28.0,1.0,0.0,DET,run,J.Garoppolo,Unknown,,middle,unknown,,,-0.63945633,-0.0006084442,0.0,,,0.0,0.0,0.9413241,3.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,(:28) (Shotgun) 10-J.Garoppolo scrambles up the middle to DET 22 for 3 yards (34-A.Anzalone).,0,Half1,1979.0,11.0,1876.0,2060.0,False,False,False,leading,False,False,run_play,long,midfield,early,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,2.0,3.0,7.0,22.0,0,18.0,1812.0,12.0,1.0,0.0,DET,pass,J.Garoppolo,,Unknown,,,left,short,-0.11011963,-0.0061374903,0.0,2.0,0.0,0.0,0.0,0.97152686,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,(:12) (Shotgun) 10-J.Garoppolo pass incomplete short left. Ball thrown away.,0,Half1,2034.0,11.0,1876.0,2060.0,True,False,False,leading,False,False,short,long,midfield,early,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,81.0,0,21.0,1795.0,1795.0,0.0,0.0,SF,pass,J.Garoppolo,,G.Kittle,,,left,short,2.3855422,0.0106368065,1.0,15.0,20.0,3.843904,1.0,0.43786994,35.0,1.0,0.0,35.0,,0.0,0.0,0.0,0.0,0.0,0.0,(14:55) 10-J.Garoppolo pass short left to 85-G.Kittle to DET 46 for 35 yards (90-T.Flowers).,0,Half2,2148.0,13.0,2126.0,2325.0,False,False,False,leading,True,True,short,long,deep_in_own,mid,left
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,1.0,10.0,46.0,0,21.0,1746.0,1746.0,0.0,0.0,DET,run,,E.Mitchell,,right,end,,,-0.5166377,0.0010124445,0.0,,,0.0,0.0,0.42992425,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,(14:06) 25-E.Mitchell right end to DET 44 for 2 yards (91-M.Brockers). DET-91-M.Brockers was injured during the play.,0,Half2,2172.0,13.0,2126.0,2325.0,False,False,False,leading,False,False,run_play,long,midfield,mid,run_play
2021_01_SF_DET,2021-09-12,2021,1,SF,DET,DET,SF,3.0,2.0,8.0,44.0,0,21.0,1716.0,1716.0,1.0,0.0,DET,pass,J.Garoppolo,,G.Kittle,,,middle,short,1.2722293,0.008123636,1.0,8.0,0.0,4.5480866,0.9987846,0.7399635,8.0,1.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,(13:36) (Shotgun) 10-J.Garoppolo pass short middle to 85-G.Kittle to DET 36 for 8 yards (21-T.Walker).,0,Half2,2196.0,13.0,2126.0,2325.0,False,False,False,leading,False,True,short,long,midfield,mid,middle
